Date,우리들제약,에이엔피,피에스엠씨,바른손,유성티엔에스,서희건설,조광페인트
2012-12-28,6970.0,4691.5673828125,340.0,4658.7548828125,1912.34912109375,665.5918579101562,3061.671630859375
2013-01-02,7350.0,4873.9248046875,345.0,4905.47998046875,1939.538818359375,677.62060546875,3120.906005859375
2013-01-03,7330.0,5222.0625,345.0,5021.58642578125,1939.538818359375,680.0263671875,3172.73583984375
2013-01-04,7180.0,5111.54248046875,345.0,5123.17919921875,1998.4500732421875,678.4224853515625,3213.459716796875
2013-01-07,8160.0,5299.42626953125,343.0,5413.4443359375,2080.019775390625,694.4607543945312,3368.949951171875
2013-01-08,8290.0,5238.640625,329.0,5224.77197265625,2039.2347412109375,700.8762817382812,3302.31103515625
2013-01-09,8210.0,5150.224609375,330.0,5311.85107421875,2030.17138671875,702.4800415039062,3268.991943359375
2013-01-10,8200.0,5050.7568359375,340.0,5166.71875,2030.17138671875,700.0742797851562,3220.86376953125
2013-01-11,8260.0,4973.39306640625,338.0,5007.07275390625,2039.2347412109375,686.441650390625,3239.375
2013-01-14,8710.0,5023.126953125,336.0,5181.23193359375,2052.829833984375,689.6493530273438,3220.86376953125
2013-01-15,8820.0,4995.4970703125,322.0,5297.337890625,2007.513427734375,682.43212890625,3272.693603515625
2013-01-16,8050.0,4807.61328125,330.0,5253.79833984375,1962.197021484375,682.43212890625,3257.885009765625
2013-01-17,8230.0,4763.4052734375,327.0,5152.20556640625,1953.134033203125,690.4512329101562,3257.885009765625
2013-01-18,8230.0,4978.9189453125,335.0,5268.3115234375,2193.310546875,699.2723388671875,3365.247314453125
2013-01-21,8250.0,5083.91259765625,385.0,5515.037109375,2338.32275390625,801.9179077148438,3343.0341796875
2013-01-22,9480.0,5304.9521484375,400.0,6342.29248046875,2370.044189453125,809.9369506835938,3554.056396484375
2013-01-23,10900.0,5222.0625,399.0,6777.68994140625,2573.9677734375,805.9275512695312,3457.801025390625
