Date,EG,동양물산,대유에이텍,대유신소재,아가방컴퍼니,보령메디앙스,세운메디칼
2012-11-27,28.74999738006878,10.322588429771983,7.058820463523574,5.5928184851462115,22.999997134139004,20.833338443065053,-7.362795137134571
2012-11-28,32.749998577751626,14.193542332399511,6.764700229621612,5.369099980542469,21.999999407063232,18.333340093901462,-7.4966404601747865
2012-11-29,22.49999925144821,5.806424150526501,1.1764700772539438,5.443653598084053,13.999997825898536,9.166670046950731,-9.504680372756646
2012-11-30,22.249992938661567,3.5483855830998667,2.0588199206059032,4.8471093537934,10.000006917595528,6.250010022935304,-8.969214809600789
2012-12-01,22.249992938661567,3.5483855830998667,2.0588199206059032,4.8471093537934,10.000006917595528,6.250010022935304,-8.969214809600789
2012-12-02,22.249992938661567,3.5483855830998667,2.0588199206059032,4.8471093537934,10.000006917595528,6.250010022935304,-8.969214809600789
2012-12-03,26.999983132633297,4.516117355341964,1.764721403411862,6.636838173297055,8.500005385842213,6.250010022935304,-10.174029563950459
2012-12-04,23.249998228427437,-4.193562442643916,1.1764700772539438,6.636838173297055,6.000006127013169,2.5000077825144684,-11.512704963339427
2012-12-05,10.99999830328262,-15.80645766760046,-6.76470022962159,8.50108217568961,-4.199998359541635,-7.9166661556934965,-15.127172209387062
2012-12-06,13.87498606446107,-13.870974012871907,-5.882350386269641,8.426499732158522,-0.4000050201979022,-6.249991156233559,-16.465870591774667
2012-12-07,12.125001759096655,-14.838739302187943,-5.588241010721628,10.365374221398028,-3.0000030635065955,-8.333327830545334,-15.127172209387062
2012-12-08,12.125001759096655,-14.838739302187943,-5.588241010721628,10.365374221398028,-3.0000030635065955,-8.333327830545334,-15.127172209387062
2012-12-09,12.125001759096655,-14.838739302187943,-5.588241010721628,10.365374221398028,-3.0000030635065955,-8.333327830545334,-15.127172209387062
2012-12-10,-0.6250008109311089,-25.80645096418568,-10.588225266108376,11.18566579628193,-13.099998883302433,-17.999993773988432,-14.323962373153954
2012-12-11,-15.375003979800294,-26.451614416900128,-17.647056587985933,10.067092490589523,-26.09999898212524,-30.2499970049111,-20.74966404601748
2012-12-12,-14.999999500965489,-27.741948025743813,-15.58823666738004,11.11108335275086,-30.499999851765814,-35.24999370323829,-20.615803400978184
2012-12-13,-4.999996506758397,-23.870974012871905,-11.764706201716269,14.317657600092272,-26.699996630142763,-32.49999740582851,-19.54483396966874
2012-12-14,-12.37499809119299,-29.677424977057576,-16.176471706007,12.9753657897961,-31.20000122540265,-38.33333160388567,-18.87551542247311
2012-12-15,-12.37499809119299,-29.677424977057576,-16.176471706007,12.9753657897961,-31.20000122540265,-38.33333160388567,-18.87551542247311
2012-12-16,-12.37499809119299,-29.677424977057576,-16.176471706007,12.9753657897961,-31.20000122540265,-38.33333160388567,-18.87551542247311
2012-12-17,-7.249993437696101,-21.93549706155814,-13.82352612232216,12.080491771381086,-29.9000022037483,-37.4999941041557,-18.87551542247311
2012-12-18,-3.125004054655478,-24.193569146058714,-10.588225266108363,12.9753657897961,-22.70000078070009,-28.166660330599324,-18.473887521357934
2012-12-19,-3.125004054655478,-24.193569146058714,-10.588225266108363,12.9753657897961,-22.70000078070009,-28.166660330599324,-18.473887521357934
