Date,써니전자,콤텍시스템,우성사료,솔고바이오메디칼,한국정보공학,미래산업,휴맥스,다믈멀티미디어,브리지텍,아남전자
2017-04-26,-41.35959339263023,-10.826446280991743,-40.874811463046775,-6.893299272941644,-23.31288343558281,-28.537755703342004,0.4207830223198261,-48.32175925925925,8.496732026143805,-8.411214953271006
2017-04-27,-46.12452350698856,-11.074380165289266,-39.8190045248869,-8.339555904892915,-23.69631901840489,-30.431854533209844,1.2714965239663645,-49.13194444444444,8.627450980392148,-14.719626168224275
2017-04-28,-48.22109275730622,-11.98347107438017,-40.271493212669704,-9.333857339359408,-23.00613496932513,-30.65914639279399,0.4207830223198261,-49.30555555555556,8.758169934640536,-13.901869158878489
2017-04-29,-48.22109275730622,-11.98347107438017,-40.271493212669704,-9.333857339359408,-23.00613496932513,-30.65914639279399,0.4207830223198261,-49.30555555555556,8.758169934640536,-13.901869158878489
2017-04-30,-48.22109275730622,-11.98347107438017,-40.271493212669704,-9.333857339359408,-23.00613496932513,-30.65914639279399,0.4207830223198261,-49.30555555555556,8.758169934640536,-13.901869158878489
2017-05-01,-48.22109275730622,-11.98347107438017,-40.271493212669704,-9.333857339359408,-23.00613496932513,-30.65914639279399,0.4207830223198261,-49.30555555555556,8.758169934640536,-13.901869158878489
2017-05-02,-57.75095298602287,-14.049586776859513,-47.05882352941179,-10.941245824326995,-25.92024539877299,-32.081825069450275,-0.4207830223197484,-54.513888888888886,9.281045751633998,-15.18691588785046
2017-05-03,-57.75095298602287,-14.049586776859513,-47.05882352941179,-10.941245824326995,-25.92024539877299,-32.081825069450275,-0.4207830223197484,-54.513888888888886,9.281045751633998,-15.18691588785046
2017-05-04,-59.21219822109276,-11.570247933884314,-45.39969834087483,-10.701513067400292,-27.837423312883413,-32.081825069450275,-0.4207830223197484,-55.38194444444444,11.503267973856213,-17.172897196261673
2017-05-05,-59.21219822109276,-11.570247933884314,-45.39969834087483,-10.701513067400292,-27.837423312883413,-32.081825069450275,-0.4207830223197484,-55.38194444444444,11.503267973856213,-17.172897196261673
2017-05-06,-59.21219822109276,-11.570247933884314,-45.39969834087483,-10.701513067400292,-27.837423312883413,-32.081825069450275,-0.4207830223197484,-55.38194444444444,11.503267973856213,-17.172897196261673
2017-05-07,-59.21219822109276,-11.570247933884314,-45.39969834087483,-10.701513067400292,-27.837423312883413,-32.081825069450275,-0.4207830223197484,-55.38194444444444,11.503267973856213,-17.172897196261673
2017-05-08,-61.562897077509525,-11.32231404958679,-44.947209653092024,-8.339555904892926,-29.754601226993838,-31.846114992844488,-0.4207830223197484,-57.34953703703704,11.764705882352944,-23.247663551401853
2017-05-09,-61.562897077509525,-11.32231404958679,-44.947209653092024,-8.339555904892926,-29.754601226993838,-31.846114992844488,-0.4207830223197484,-57.34953703703704,11.764705882352944,-23.247663551401853
2017-05-10,-61.499364675984744,-12.727272727272743,-48.717948717948744,-9.895853802318744,-28.60429447852758,-32.08182506945027,-1.262349066959334,-56.25,9.281045751633975,-22.546728971962594
2017-05-11,-62.00762388818297,-11.074380165289256,-48.64253393665161,-10.135586559245446,-27.22392638036807,-31.138984763027178,-1.262349066959334,-56.01851851851851,8.888888888888902,-25.700934579439227
